songs,artists,lyrics,length
Closer,The Chainsmokers,"closer, closer closer, closer (woo) turn light place shine like star swear know face know turn music still hear loud clear like right ear tellin' want control come closer (come closer) come closer can't pull away spell, can't break can't stop, can't stop can't stop, can't stop can't bring myself, way want escape can't stop, can't stop can't stop, can't stop can't stop see ne-yo liveget ticket low $63you might also like feel skin taste tongue sweetest taste sin get, want want come closer (come closer) says, ""come closer"" hey can't pull away spell, can't break can't stop, can't stop can't stop, can't stop can't bring myself, way want escape can't stop, can't stop can't stop, can't stop can't stop come closer, come closer come closer, come closer come closer, come closer come closer can't stop, no-woah-oh can't stop, no-woah-oh (i can't stop it, no, no) can't stop, no-woah-oh (just can't stop) can't stop, (no, no, no, no, no) can't pull away spell, can't break can't stop, can't stop (and can't stop) can't stop, can't stop (and can't stop) can't bring way (bring myself) want escape (bring myself) can't stop, can't stop (and can't stop) can't stop, can't stop (oh, can't stop) can't stop can't pull away spell, can't break can't stop, can't stop can't stop, can't stop can't stop come closer7embed",2054
Cheap Thrills,Sia,"come on, come on, turn radio friday night long gotta hair, put make friday night long 'til hit dance floor, hit dance floor got need no, ain't got cash, ain't got cash got you, baby baby, need dollar bill fun tonight (i love cheap thrills) baby, need dollar bill fun tonight (i love cheap thrills) need money long feel beat need money long keep dancing come on, come on, turn radio saturday long gotta paint nails, put high heel saturday long might also like 'til hit dance floor, hit dance floor got need no, ain't got cash, ain't got cash got you, baby baby, need dollar bill fun tonight (i love cheap thrills) baby, need dollar bill fun tonight (i love cheap thrills) need money long feel beat need money long keep dancing (i love cheap thrills) (i love cheap thrills) need money long feel beat need money long keep dancing baby, need dollar bill fun tonight (i love cheap thrills) baby, need dollar bill fun tonight (i love cheap thrills) need money long feel beat need money long keep dancing la, la, la, la, la, la, la (i love cheap thrills) la, la, la, la, la, la, la (i love cheap thrills) la, la, la, la, la, la, la (i love cheap thrills) la, la, la, la, la, la, la (i love cheap thrills)61embed",1685
7 Years,Lukas Graham,"once, seven year old, mama told ""go make friends, lonely"" once, seven year old big, big world, thought bigger pushing limits, learning quicker eleven, smoking herb drinking burning liquor never rich, make steady figure once, eleven year old, daddy told ""go get wife, lonely"" once, eleven year old always dream like daddy started writing songs, started writing story something glory always seemed bore 'cause really love ever really know once, twenty year old, story got told morning sun, life lonely once, twenty year old (lukas graham!) see lukas graham liveget ticket low $48you might also like see goals, believe failure 'cause know smallest voices, make major got boy me, least favor meet leave, hope i'll see later once, twenty year old, story got told writing 'bout everything saw once, twenty year old soon, we'll thirty year old, song sold we've traveled around world we're still roaming soon, we'll thirty year old i'm still learning life, woman brought child sing songs, tell story boy me, still seeking glory leave behind, brother, i'm still sorry soon, i'll sixty year old, daddy got sixty-one remember life life becomes better one made man happy wrote letter hope child come visit twice month soon, i'll sixty year old, think world cold? lot child warm me? soon, i'll sixty year old soon, i'll sixty year old, think world cold? lot child hold me? soon, i'll sixty year old once, seven year old, mama told ""go make friends, lonely"" seven year old seven year old198embed",2289
Needed Me,Rihanna,"mustard beat, ho! good own, that's way that's way good low faded fuck faded love shit, fuck complaining for? feeling jaded, huh? used trip shit kickin' fun run though i'll give baby, get twisted another nigga hit list tryna fix inner issue bad bitch tell savage? fuck ya white horse ya carriage bet never could imagine never told could needed ooh, needed feel little more, give little le know hate confess baby ooh, needed might also like rollin' around, shit i'm rollin' light roll break down, like pound, shit never u shit never u that's real, real, serious? feel, feel? used trip shit kickin' ya fun run though, i'll give ya baby, get twisted another nigga hit list tryna fix inner issue bad bitch tell savage? fuck ya white horse ya carriage bet never could imagine never told could needed ooh, needed feel little more, give little le know hate confess baby ooh, needed me284embed",1429
My House,Flo Rida,"open champagne, pop! house, come on, turn hear knock door night begin 'cause done before, come make home, tell pour something cold, baby, cheer sometimes gotta stay know live yeah, know sometimes gotta stay in, welcome house baby, take control can't even slow go welcome house play music loud show go welcome house welcome house morning come know wanna stay close blinds, let's pretend time changed keep clothes floor, open champagne let's continue tonight, come on, celebrate (that's do) sometimes gotta stay know live (you know live) yeah, know (you know is) sometimes gotta stay in, (in, in) welcome house baby, take control (now) can't even slow go (out, out) welcome house play music loud (turn up, turn up) show (show now) go (go out, go out, uh) welcome house (it's house, come on, bring friend) welcome house welcome duck-off, crib, spot, pad house house throwin' back excuse home's draining sad soon happy face land run cash homerun, slam dunk, touchdown pas mi casa e tu casa, ain't holding back another shot vodka, know what's glass house, relax welcome house baby (hey), take control (woo, woo) can't even slow (hit brakes, hit brakes, go out) go (cheers this) welcome house play music loud (turn up) show go (go out) (ayy, ayy) welcome house (ayy, ayy) welcome house (it's house, house) (ayy, ayy) welcome house (what?) housesee flo rida liveget ticket low $50you might also like26embed",2176
I Took a Pill in Ibiza,Mike Posner,"took pill ibiza show avicii cool finally got sober, felt 10 year older fuck it, something i'm living la, drive sport car prove i'm real big baller 'cause made million dollar spend girl shoe wanna high like never really knowing like ever wanna step roller coaster alone wanna ride bus like never knowing trust like wanna stuck stage singing stuck stage singing know sad songs, sad song darling, know sad songs, sad song i'm singer already blew shot get along old timer 'cause name's reminder pop song people forgot can't keep girl, 'cause soon sun come cut 'em loose work's excuse truth can't open might also like wanna high like never really knowing like ever wanna step roller coaster alone wanna ride bus like never knowing trust like wanna stuck stage singing stuck stage singing know sad songs, sad song darling, know sad songs, sad song (hey) took plane hometown brought pride guitar friend gone there's manicured lawn people still think i'm star walked around downtown met fan lafayette said tell u make 'cause we're getting real impatient looked 'em eye said wanna high like never really knowing like ever wanna step roller coaster alone wanna ride bus like never knowing trust like wanna stuck stage singing stuck stage singing know sad songs, sad song darling, know sad songs, sad songs84embed",2015
Work from Home,Fifth Harmony,"ain't worried nothin', ain't wearin' na-nada i'm sittin' pretty, impatient, know gotta put hours, i'ma make harder i'm sendin' pic picture, i'ma get fired know always night shift can't stand night alone (oh-oh) need explanation 'cause, baby, bos home gotta go work work, work, work, work, work, work gotta put work work, work, work, work, work, work gotta go work work, work, work, work, work, work let body work work, work, work, work, work, work work home, oh-oh, oh-oh work home, oh-oh, oh-oh let's put motion, i'ma give promotion i'll make feel like vacay, turn bed ocean need nobody, need body nothing sheet in-between us, ain't getting early might also like know always night shift can't stand night alone (oh-oh) need explanation 'cause, baby, bos home (yeah, yeah) gotta go work work, work, work, work, work, work gotta put work work, work, work, work, work, work gotta go work work, work, work, work, work, work let body work work, work, work, work, work, work work home, oh-oh, oh-oh work home, oh-oh, oh-oh (dolla $ign) oh, yeah girl go work (work me) make clap, hand me? (oh, yeah) take ground, pick look back (oh, yeah) put work like timesheet (oh) ride like '63 (oh-woah) i'ma buy new céline (oh, no) let ride foreign oh, bae, i'm boo break rule ride die, gon' go i'm gon' juug, finessin' pipe her, take put overtime body gotta go work (you gotta go work, no) work, work, work, work, work, work gotta put work (woah) work, work, work, work, work, work (oh, yeah) gotta go work work, work, work, work, work, work let body work (do work, work) work, work, work, work, work, work (yeah, yeah) work home, oh-oh, oh-oh work home, oh-oh, oh-oh yeah, work home, ah yeah, work home, oh-oh, oh-oh yeah58embed",2381
This Is What You Came For,Calvin Harris,"baby, came lightning strike every time move everybody's watchin' lookin' you, ooh-ooh, you, ooh-ooh you, ooh-ooh, you, ooh-ooh you, ooh-ooh, you, ooh, ooh, ooh baby, came lightning strike every time move everybody's watchin' lookin' you, ooh-ooh, you, ooh-ooh you, ooh-ooh, you, ooh-ooh you, ooh-ooh, you, ooh, ooh, ooh you, ooh-ooh, you, ooh-ooh you, ooh-ooh, you, ooh-ooh you, ooh-ooh, you, ooh, ooh, ooh go fast game play (game play, game play) know gotta way (be way, way) say nothin' need (than need, need) say, ""your place"" leave baby, came lightning strike every time move everybody's watchin' lookin' you, ooh-ooh, you, ooh-ooh you, ooh-ooh, you, ooh-ooh you, ooh-ooh, you, ooh, ooh, ooh you, ooh-ooh, you, ooh-ooh you, ooh-ooh, you, ooh-ooh you, ooh-ooh, you, ooh, ooh, ooh see calvin harris liveget ticket low $71you might also like baby, came lightning strike every time move yeah baby, came lightning strike every time move everybody's watchin' lookin' you, ooh-ooh, you, ooh-ooh you, ooh-ooh, you, ooh-ooh you, ooh-ooh, you, ooh, ooh, ooh you, ooh-ooh, you, ooh-ooh you, ooh-ooh, you, ooh-ooh you, ooh-ooh, you, ooh, ooh, ooh79embed",1469
Cake by the Ocean,DNCE,"nah, nah, nah cake ocean oh, see walkin' 'round like funeral serious, girl, foot cold? gettin' started, tiptoe, tiptoe, ah waste time masterpiece, waste time masterpiece (huh) rollin' me, rollin' (ah-ah-ah) real-life fantasy, real-life fantasy (huh) movin' carefully, let's start livin' dangerously talk me, baby i'm goin' blind sweet, sweet cravin', whoa-oh let's lose mind go fuckin' crazy i-i-i-i-i, keep hopin' we'll eat cake ocean, uh walk me, baby i'll diddy, naomi, whoa-oh let's lose mind go fucking crazy i-i-i-i-i, keep hopin' we'll eat cake ocean, uh might also like goddamn see lickin' frostin' hand want another taste, i'm beggin', ""yes, ma'am"" i'm tired candy dry land, dry land, oh (uh, ah) waste time masterpiece, waste time masterpiece (huh) rollin' me, rollin' (ah-ah-ah) real-life fantasy, real-life fantasy (huh) movin' carefully, let's start livin' dangerously (whoa-oh-oh-oh) talk me, baby i'm goin' blind sweet, sweet cravin', whoa-oh let's lose mind go fuckin' crazy i-i-i-i-i, keep hopin' we'll eat cake ocean, uh walk me, baby (walk now) i'll diddy, naomi, whoa-oh let's lose mind go fucking crazy i-i-i-i-i, keep hopin' we'll eat cake ocean, uh ooh, ah, ah i-i-i-i-i, keep hopin' we'll eat cake ocean, uh ooh, ah, ah i-i-i-i-i, keep hopin' we'll eat cake ocean, uh (oh, hey) fuckin' delicious, haha talk me, girl (hey) talk me, baby (talk me, baby, hey) i'm goin' blind sweet, sweet cravin', whoa-oh (whoa-oh) let's lose mind go fuckin' crazy (crazy) i-i-i-i-i (ah), keep hopin' we'll eat cake ocean, uh (hey) walk me, baby (walk now) i'll diddy, naomi, whoa-oh let's lose mind go (and go what?) fucking crazy (that's right) i-i-i-i-i, keep hopin' (alright), we'll eat cake ocean, uh (aw, yeah) red velvet, vanilla, chocolate life funfetti (oh), i'm ready (oh), need every night (hey) red velvet, vanilla, chocolate life (oh) i-i-i-i-i keep hopin' we'll eat cake ocean55embed",2490
"Me, Myself & I",G-Eazy,"ooh, me, solo ride die 'cause got life (yeah) ooh, need hand hold even night cold got fire soul (ah) far see, need privacy plus whole lot tree, fuck modesty need space give world they're tryna see stella maxwell right beside ferrari, i'm buyin' three closet saint laurent, get want want 'cause hunger drivin' me, yeah need alone, need home understand i'm speakin' time money need loan regardless i'll always keep keepin' fuck fake friends! take l's, make m's y'all follow, make trend i'm right back work break ends, yeah might also like ooh, me, solo ride die 'cause got life (got life, yeah) ooh, need hand hold even night cold got fire soul need anything (yeah) get night except beat that's heart yeah, keepin' alive (keeps alive) need anything make satisfied (you know) 'cause music good get every time (every time) yeah, like talkin' stranger get fuck me, i'm anxious i'm tryna cool, may go apeshit say ""fuck y'all!"" y'all face change though i'm famous everyone know lifestyle dangerous love it, rush amazin' celebrate nightly everyone rage found cope anger i'm swimmin' money swimmin' liquor, liver muddy good, i'm still sippin' bubbly shit lovely, shit ain't random, get lucky made right ‘cause i'm sick it, cuddy take money granted want work — tell now, funny? (nah) ooh, me, solo ride die ‘cause got life (got life, yeah) ooh, need hand hold even night cold got fire soul need anything (yeah) get night except beat that's heart yeah, keepin' alive (keeps alive) need anything make satisfied (you know) ‘cause music good get every time like, ba-ba-ba-ba-da-ba ba-ba-ba-da-ba (yeah) ba-ba-ba-ba-da-ba ba-ba-ba-da-ba ba-ba-ba-ba-da-ba ba-ba-ba-da-ba 'cause music good get every time yeah, lonely night laid awake pray lord soul take heart's become cold break know i'm great, i'm broke hell havin' dream i'm foldin' cake life i've told wait i'ma get now, yeah, debate yeah ooh, me, solo ride die 'cause got life (got life, yeah) ooh, need hand hold even night cold got fire soul need anything (yeah) get night except beat that's heart keepin' alive (keeps alive) need anything make satisfied (you know) 'cause music good get every time like, ba-ba-ba-ba-da-ba ba-ba-ba-da-ba ba-ba-ba-ba-da-ba ba-ba-ba-da-ba ba-ba-ba-ba-da-ba ba-ba-ba-da-ba 'cause music good get every time 228embed",3418
Ride,Twenty One Pilots,"wanna stay sun find know hard sometimes piece peace sun's peace mind know hard sometimes yeah, think end way much fun fantasize enemy wish fun fantasize oh-woah-woah, oh-woah-woah, i'm fallin' i'm takin' time ride, oh-woah-woah, i'm fallin' i'm takin' time ride takin' time ride ""i'd die you,"" that's easy say list people would take bullet them, bullet bullet everybody room seem see many bullet comin' see many bullet comin' metaphorically, i'm man literally, know i'd ""i'd live you,"" that's hard even harder say know true even harder write know tonight people back home tried talking ignore still question they're real like ""who would live for?"" ""who would die for?"" ""would ever kill?"" might also like oh-woah-woah, oh-woah-woah, i'm fallin' i'm takin' time ride, oh-woah-woah, i'm fallin' i'm takin' time ride takin' time ride i've thinkin' much i've thinkin' much i've thinkin' much i've thinkin' much help i've thinkin' much i've thinkin' much i've thinkin' much help i've thinkin' much i've thinkin' much i've thinkin' much oh-woah-woah, oh-woah-woah, i'm fallin' i'm takin' time ride, oh-woah-woah, i'm fallin' i'm takin' time takin' time ride, woah-oh-oh (woah, yeah) oh-woah-woah, oh-woah-woah, i'm fallin' i'm takin' time ride, oh-woah-woah, i'm fallin' i'm takin' time i've thinkin' much help i've thinkin' much help i've thinkin' much i've thinkin' much i've thinkin' much help i've thinkin' much i've thinkin' much i've thinkin' much help me291embed",2130
Heathens,Twenty One Pilots,"friend heathens, take slow (in city, boy, city) wait ask know please make sudden move know half abuse friend heathens, take slow wait ask know please make sudden move know half abuse welcome room people room people loved one day, locked away check gun door mean brain change hand grenade never know psychopath sitting next never know murderer sitting next think, ""how'd get here, sitting next you?"" i've said, please forget friend heathens, take slow wait ask know please make sudden move know half abuse might also like deal outsider well say newcomer certain smell trust issues, mention say smell intention never know freak show sitting next weird people sitting next think ""how get here, sitting next you?"" i've said, please forget (watch it, watch it) friend heathens, take slow (in city, boy, city) wait ask know please make sudden move know half abuse friend heathens, take slow (watch it) wait ask know (watch it) please friend heathens, take slow (watch it) wait ask know why'd come? knew stayed (it's blasphemy) tried warn stay away (wouldn't listen me) they're outside ready bust (and guess what?) look like might one us377embed",1903
Pillowtalk,Zayn,"climb board we'll go slow high tempo light dark hold hard mellow i'm seeing pain, seeing pleasure nobody you, 'body 'body us, body together love hold close, tonight always love wake next love hold close, tonight always love wake next we'll piss neighbour place feel tears, place lose fear yeah, reckless behavior place pure, dirty raw bed day, bed day, bed day fucking fighting paradise war zone paradise war zone pillow talk enemy, ally prisoner we're free, thin line might also like i'm seeing pain, seeing pleasure nobody you, 'body 'body us, body together love hold close, tonight always love wake next we'll piss neighbour place feel tears, place lose fear yeah, reckless behavior place pure, dirty raw bed day, bed day, bed day fucking fighting paradise war zone paradise war zone paradise, paradise, paradise, paradise war zone, war zone, war zone, war zone paradise, paradise, paradise, paradise war zone, war zone, war zone, war zone we'll piss neighbour place feel tears, place lose fear yeah, reckless behavior place pure, dirty raw bed day, bed day, bed day fucking fighting paradise war zone paradise war zone122embed",1709
Stitches,Shawn Mendes,"thought i'd hurt one's ever left quite sore word cut deeper knife now, need someone breathe back life got feeling i'm goin' know i'll make alive quit calling lover move watch bleed can't breathe, shaking falling onto knee i'm without kiss i'll needin' stitch trippin' myself, aching begging come help i'm without kiss i'll needin' stitch like moth drawn flame oh, lured in, sense pain bitter heart, cold touch now, i'm gonna reap sow i'm left seein' red might also like got feeling i'm goin' know i'll make alive quit calling lover move watch bleed can't breathe, shaking falling onto knee i'm without kiss i'll needin' stitch trippin' myself, aching begging come help i'm without kiss i'll needin' stitch needle thread, gotta get outta head needle thread, gonna wind dead needle thread, gotta get outta head needle thread, gonna wind dead needle thread, gotta get outta head needle thread, gonna wind dead needle thread, gotta get outta head get outta head watch bleed can't breathe, shaking falling onto knee (falling onto knees) i'm without kiss i'll needin' stitch (i'll needin' stitches) trippin' myself, aching begging come help (begging, baby, please) i'm without kiss i'll needin' stitch i'm without kiss yeah, i'll needin' stitch i'm without kiss yeah, i'll needin' stitches195embed",1906
Hotline Bling,Drake,"used call used to, used yeah used call cell phone late-night need love call cell phone late-night need love know hotline bling mean one thing know hotline bling mean one thing ever since left city, got reputation everybody know feel left girl, got down, got stressed 'cause ever since left city, started wearin' le goin' glass champagne dance floor hangin' girl never seen used call cell phone late-night need love call cell phone late-night need love know hotline bling mean one thing know hotline bling mean one thing might also like ever since left city, you, you, me, get along make feel like wrong goin' place belong ever since left city, got exactly asked runnin' page passport hangin' girl i've never seen used call cell phone late-night need love call cell phone late-night need love know hotline bling mean one thing know hotline bling mean one thing days, wonder bendin' backwards someone else wonder rollin' backwoods someone else thing taught you, gettin' nasty someone else need one else need nobody else, never alone? always touchin' road? used always stay home good girl, zone yeah, right now, someone else used call cell phone late-night need love call cell phone late-night need love know hotline bling mean one thing know hotline bling mean one thing ever since left city— 648embed",2178
Cold Water,Major Lazer,"everybody get high sometimes, know else we're feelin' low? take deep breath let go drowning feel sinking, jump right cold, cold water although time may take u different place still patient hope know let go i'll lifeline tonight let go i'll lifeline tonight 'cause get lost sometimes, know? learn grow wanna lay 'til i'm old, o-old fighting feel sinking, jump right cold, cold water although time may take u different place still patient hope know might also like let go (and let go, no-no, no-no, no, won't) i'll lifeline tonight let go i'll lifeline tonight (i let, yeah, yeah) come on, come on, save rocking boat wanna stay afloat, i'm alone (float, float, float, float) hope, hope someone's gonna take home somewhere rest soul (rest soul) need know let go (and let go, no-no, no-no, no, won't) i'll lifeline tonight let go i'll lifeline tonight let go let go89embed",1383
Send My Love (To Your New Lover),Adele,"guitar? okay, cool you, none put hand on, body told mmm, told ready big one, big jump i'd last love, everlasting, mmm, told i'm giving i've forgiven set free send love new lover treat better we've gotta let go ghost know ain't kid send love new lover treat better we've gotta let go ghost know ain't kid might also like strong, trembling handle hot heat rising (rising) mmm, baby, i'm still rising running, walking keep up, falling (down) mmm, there's one way i'm giving i've forgiven set free, oh send love new lover treat better we've gotta let go ghost know ain't kid send love new lover treat better we've gotta let go ghost know ain't kid ready, ready ready, ready ready, ready know ain't kid no, ain't kid i'm giving i've forgiven set free send love new lover treat better we've gotta let go ghost know ain't kid send love new lover treat better we've gotta let go ghost know ain't kid ready, ready (send love new lover) ready, ready? (treat better) we've gotta let go ghost know ain't kid ready, ready (send love new lover) ready, ready? (treat better) we've gotta let go ghost know ain't kid more60embed",1956
Roses,The Chainsmokers,"caroline (caroline), see, caroline guy would say mighty fine (mighty fine) mighty fine got somewhere half time half either got cussed comin' short yeah, dig this, even though (even though) need golden calculator divide (to divide) time took look inside realize real guy go real mar girls, haha, yeah know like think shit stank, lean little bit closer, see rose really smell like boo-boo-ooh yeah, rose really smell like boo-boo-ooh know like think shit stank, lean little bit closer, see rose really smell like boo-boo-ooh yeah, rose really smell like boo-boo-ooh caroline, (caroline), see reason word 'bitch' (bitch) hope speedin' way club tryna hurry get baller singer somebody like try put makeup mirror crash, crash crash ditch (just playin') need golden calculator divide (to divide) time take look inside realize real guy go real mar girls, yeah might also like know like think shit stank, lean little bit closer, see rose really smell like boo-boo-ooh yeah, rose really smell like boo-boo-ooh know like think shit stank, lean little bit closer, see rose really smell like boo-boo-ooh yeah, rose really smell like boo-boo-ooh well, got hottie's body attitude potty met party, hardly acting naughty said, ""shorty, would call me?"" said, ""pardon me, balling?"" said ""darling, sound like prostitute pausing"" oh, one freak get geeked sight atm receipt game peeped, droppin' names, weak trickin' bitch lost, must take geek quick way eat, neat place sleep rent-a-car week, trick treat go raw sex, aid test flawless regardless, wanna get involved lawyer judge hold grudge courtroom wanna see support bra, support (not support you, support you) know like think shit stank, lean little bit closer, see rose really smell like boo-boo-ooh yeah, rose really smell like boo-boo-ooh know like think shit stank, lean little bit closer, see rose really smell like boo-boo-ooh yeah, rose really smell like boo-boo-ooh yeah, know like think shit stank, lean little bit closer, see rose really smell like boo-boo-ooh yeah, rose really smell like boo-boo-ooh know like think shit stank, lean little bit closer, see rose really smell like boo-boo-ooh yeah, rose really smell like boo-boo-ooh know like think shit stank, lean little bit closer, see rose really smell like boo-boo-ooh yeah, rose really smell like boo-boo-ooh know like think shit stank, lean little bit closer, see rose really smell like boo-boo-ooh yeah, rose really smell like boo-boo-ooh know like think shit stank, lean little bit closer, see rose really smell like boo-boo-ooh yeah, rose really smell like boo-boo-ooh know like think shit stank, lean little bit closer, see rose really smell like boo-boo-ooh yeah, rose really smell like boo-boo-ooh better come back mar girl, quit chasing car happens dough get low bitch, ain't fine, way, way, way better come back mar girl, quit chasing car happens dough get low bitch, ain't fine, way, way, way crazy bitch crazy bitch crazy bitch crazy bitch crazy bitch crazy bitch crazy bitch (bitch) crazy bitch (stupid-ass bitch) crazy bitch (old punk-ass bitch) crazy bitch (old dumb-ass bitch) crazy bitch (a bitch's bitch) crazy bitch (just bitch) crazy bitch (stupid-ass bitch) crazy bitch (old punk-ass bitch) crazy bitch (old dumb-ass bitch) crazy bitch (a bitch's bitch) crazy bitch (just bitch)78embed",4253
Treat You Better,Shawn Mendes,"lie know he's right tell i'm see face say he's one want spending time wrong situation anytime want stop know treat better girl like deserves gentleman tell me, wasting time wasted cryin' instead? know treat better better i'll stop time second say like wanna give loving missing baby, wake would everything need could different tell want might also like 'cause know treat better girl like deserves gentleman tell me, wasting time wasted cryin' instead? know treat better better better give sign take hand, we'll fine promise let know alone promise i'll never let 'cause know treat better girl like deserves gentleman tell me, wasting time wasted cryin' instead? know treat better better better better can120embed",1417
Too Good,Drake,"oh yeah, yeah, yeah oh yeah, yeah, yeah yeah look...i know talk know ask okay friend always feel need tell thing seems like they're happier u day yeah day know talk know need feel like time see turn head side look differently yeah last night think lost patience last night, got high expectation last night, came realization hope take hope take it, oh i'm good i'm way good take love granted understand no, i'm good i'm way good take love granted understand might also like know talk know found getting lost lately make work hard got flight overseas, still can't get across last night think lost patience last night, got high expectation last night, came realization hope take hope take it, oh i'm good i'm way good take love granted understand no, i'm good i'm way good take love granted understand year go fast can't keep track long last? feel bad asking can't end like gotta take time cock yuh bumper, sit pon let see something fix (six) got somebody play victim free time costing seems sacrificing thing wanna tell intention wanna thing mention wanna benefit friendship wanna get late night message you, put hand around gotta get handle gotta get handle fact i'm good i'm way good take love granted understand no, i'm good i'm way good take love granted understand gyal mi waan pay fi yuh visa meck yo fly regular baby, cock yuh bumper, sit pon gyal yo pum pum good yuh fit mi wi give everything weh deh wallet pocket cock yuh bumper, sit pon gyal yo pum pum good yuh fit mi wi give everything weh deh wallet pocket160embed",2560
Low Life,Future,"high, high, get, get, gettin' high, everybody gettin' high get, get, get, gettin' high, unbelievably high took molly, else? (hey) got bitch folly u ('scuse me, 'scuse me) gon' fuck squad, else? (i swear) i'ma fuck broads, else? (yeah, yeah!) bitch pakistan, up? ('rari!) ferraris lambs, else? (skrrt, skrrt!) 'bout fuck club up, else? (yeah, yeah!) (metro boomin want more, nigga!) (turn up) turn ritz poor house (turn up) like eviction number four (woo) go 'head ash floor (swear) girl, go 'head show go feel whole body peakin' (yeah) i'm fuckin' anybody leg wide (racks) gettin' faded bitch west side (woo) east coast nigga reppin' north side, never waste ho's time (freebandz) bitch, i'm time, fuck nigga co-sign (woo) always change number phone line (and my, my) baby girl, lie, used money crib (turn up) room service bill cost whole life (ayy) try stunt me, go military (turn up) i'm camo'd out, like i'm military (turn up) free nigga locked penitenti' (swear) 'cause i'm always reppin' low life might also like reppin' low life (turn up), low life, low life low life, know i'm reppin' low low life (representin'), yeah (i'm representin') said i'm reppin' low life (representin') low life, low life, low life, low life (i'm representin' low life) said i'm repping low life (i'm reppin', that's reppin', i'm reppin') low life, low life, low life (rep, rep, rep, rep, rep, rep, rep, woo, woo, woo, woo) yeah wake up, take sip ace spade like water molly xans daughter catch cheating, ever tell her, ""sorry"" catch cheating, never tell her, ""sorry"" porsches valet, got bentleys, got 'raris taking pain pill plane, gettin' chartered poppin' tag tags, starvin' bitch, got juice carbine turn five star hotel traphouse roach everywhere, like forgot take trash flood cross ice, gettin' money religion got baby momma side bitch kissin' turn ritz lean house sixth time gettin' kicked can't feel face, i'm adderall, nauseous nigga tryna ride fuckin' wave, salty runnin' wave, get killed quick shoot back like ricky li'l mexico, life afterlife whole life, whole life 'cause i'm always reppin' low life (wait), low life, low life low life, know i'm reppin' low low life (representin'), yeah (i'm representin') said i'm reppin' low life (representin', wait) low life, low life, low life, low life (i'm representin' low life, low life) said i'm repping low life (for low life, i'm reppin' low life) low life, low life, low life (wait, wait, low life) yeah yeah, stereotypin' 'cause know nigga keep ten rifle (ten rifles) know nigga keep ten sniper (ten snipers) keepin' baby bottle like wearin' diaper yeah, stereotypin' 'cause know nigga keep twenty rifle know nigga keep twenty sniper know nigga keep ten wifeys (ha-ha-ha!) sniper, sniper, sniper, sniper, sniper wifey, wifey, wifey, wifey, wifey that's wifey, wifey, wifey, wifey, wifey? think like her, like her, like her, like that's wifey, wifey, wifey, wifey, wifey? think like her, like her, like her, like oh, that's wifey, wifey, wifey, wifey, wifey? think like her, like her, like her, like her, ha getting high, getting high, getting high, everybody getting high getting high, getting high, getting high, everybody getting high getting high, getting high, getting high, everybody getting high getting high, getting high, getting high, i'm reason took molly, else? (getting high, getting high, getting high, everybody getting high) got bitch folly u (getting high, getting high, getting high, everybody getting high) gon' fuck squad, else? (getting high, getting high, getting high, everybody getting high) i'ma fuck broads, else? (getting high, getting high, getting high, i'm reason why) bitch pakistan, up? ferraris lambs, else? 'bout fuck club up, else? 'bout fuck club up, else?222embed",4696
What Do You Mean?,Justin Bieber,"mean? oh, oh nod head yes, wanna say mean? hey, yeah want move, tell go mean? oh, mean? said runnin' outta time, mean? oh, oh, oh, mean? better make mind, mean? indecisive i'm sayin' tryna catch beat, make heart know happy complainin' want u end, start? first wanna go left, wanna turn right (right) wanna argue day, makin' love night (all night) first up, you’re down, ('tween) oh, really wanna know mean? oh, oh nod head yes, wanna say mean? hey, yeah want move, tell go mean? oh, mean? said runnin' outta time, mean? oh, oh, oh, mean? better make mind mean? might also like overprotective i'm leavin' tryna compromise, can’t win wanna make point, keep preachin' start, let end first wanna go left, wanna turn right (turn right) wanna argue day, makin' love night (all night) first up, you’re down, ('tween) oh, really wanna know mean? oh, oh (yeah, yeah, yeah, yeah) nod head yes, wanna say mean? (oh, mean?) hey, yeah want move, tell go mean? (i wanna know, ooh) oh, mean? (ooh) said runnin' outta time, mean? (oh, baby) oh, oh, oh, mean? better make mind mean? (don't selfish, baby, yeah, yeah) oh, oh nod head yes, wanna say mean? (you're confusin', baby) hey, yeah want move (hey), tell go mean? (be straightforward) oh, mean? (hey, ah, ah, ah) said runnin' outta time, mean? (hey, ah, ah, ah) oh, oh, oh, mean? better make mind, mean?84embed",2273
